# q  I_recon
1.240343000000000001e-01 6.012382618392885653e-02
1.243165160000000019e-01 5.982687125248523780e-02
1.245987330000000032e-01 5.953140911363605237e-02
1.248809500000000045e-01 5.923746055105855862e-02
1.251631669999999918e-01 5.894502412458182961e-02
1.254453839999999931e-01 5.865409171682425121e-02
1.257276009999999944e-01 5.836462705169023768e-02
1.260098169999999962e-01 5.807656780468983815e-02
1.262920339999999975e-01 5.778986879563272755e-02
1.265742509999999987e-01 5.750456467175059372e-02
1.268564680000000000e-01 5.722070339261632610e-02
1.271386850000000013e-01 5.693827966299420951e-02
1.274209020000000026e-01 5.665724199229348751e-02
1.277031180000000044e-01 5.637755390723249438e-02
1.279853350000000056e-01 5.609922586673869727e-02
1.282675520000000069e-01 5.582227987167660832e-02
1.285497690000000082e-01 5.554671519270867885e-02
1.288319860000000094e-01 5.527251408386433390e-02
1.291142030000000107e-01 5.499965453331669141e-02
1.293964190000000125e-01 5.472810459542658268e-02
1.296786360000000138e-01 5.445783060165024225e-02
1.299608529999999873e-01 5.418884253316152977e-02
1.302430699999999886e-01 5.392117812193803622e-02
1.305252869999999898e-01 5.365485561544441895e-02
1.308075039999999911e-01 5.338984200466740521e-02
1.310897199999999929e-01 5.312609912049143235e-02
1.313719369999999942e-01 5.286360837520467926e-02
1.316541539999999955e-01 5.260236823277324170e-02
1.319363709999999967e-01 5.234238100082403561e-02
1.322185879999999980e-01 5.208365937883183833e-02
1.325008049999999993e-01 5.182621375467548475e-02
1.327830210000000011e-01 5.157001818296966245e-02
1.330652380000000023e-01 5.131502282529611103e-02
1.333474550000000036e-01 5.106119841951504978e-02
1.336296720000000049e-01 5.080855182221453298e-02
1.339118890000000062e-01 5.055709679837276649e-02
1.341941060000000074e-01 5.030686777507764607e-02
1.344763220000000092e-01 5.005791012401718254e-02
1.347585390000000105e-01 4.981021177717177145e-02
1.350407560000000118e-01 4.956366252177311915e-02
1.353229730000000131e-01 4.931815995017634069e-02
1.356051899999999866e-01 4.907375045541770286e-02
1.358874069999999878e-01 4.883054800625466485e-02
1.361696239999999891e-01 4.858859571091068280e-02
1.364518399999999909e-01 4.834781991398724027e-02
1.367340569999999922e-01 4.810814348907133803e-02
1.370162739999999935e-01 4.786955983910622103e-02
1.372984909999999947e-01 4.763208953578480093e-02
1.375807079999999960e-01 4.739575223549791216e-02
1.378629249999999973e-01 4.716056610314454944e-02
1.381451409999999991e-01 4.692653993836328613e-02
1.384273580000000003e-01 4.669362007468821213e-02
