# q  I_recon
7.746852199999999800e-02 1.531800979811202279e-01
7.775073799999999979e-02 1.520251076488596254e-01
7.803295500000000107e-02 1.508841462369816255e-01
7.831517200000000234e-02 1.497569011944516471e-01
7.859738900000000361e-02 1.486430366040231710e-01
7.887960600000000488e-02 1.475423972110552484e-01
7.916182300000000616e-02 1.464549340804332245e-01
7.944403899999999408e-02 1.453805314342469790e-01
7.972625599999999535e-02 1.443189097536848320e-01
8.000847299999999662e-02 1.432697947959318263e-01
8.029068999999999789e-02 1.422330279416019749e-01
8.057290699999999917e-02 1.412085137097442156e-01
8.085512400000000044e-02 1.401961234747632623e-01
8.113734000000000224e-02 1.391956681079053737e-01
8.141955700000000351e-02 1.382069460525541527e-01
8.170177400000000478e-02 1.372298087850082060e-01
8.198399100000000606e-02 1.362641240794494890e-01
8.226620799999999345e-02 1.353097334991678058e-01
8.254842499999999472e-02 1.343664336790867386e-01
8.283064099999999652e-02 1.334340279260311235e-01
8.311285799999999779e-02 1.325123640418336135e-01
8.339507499999999907e-02 1.316013227535108021e-01
8.367729200000000034e-02 1.307007682856699826e-01
8.395950900000000161e-02 1.298105444942456166e-01
8.424172600000000288e-02 1.289304943236044554e-01
8.452394300000000416e-02 1.280604657763337317e-01
8.480615900000000595e-02 1.272003116436943027e-01
8.508837599999999335e-02 1.263498678173927969e-01
8.537059299999999462e-02 1.255089685907632702e-01
8.565280999999999589e-02 1.246774550431654083e-01
8.593502699999999717e-02 1.238552265476853126e-01
8.621724399999999844e-02 1.230422009585594445e-01
8.649946000000000024e-02 1.222382499276673667e-01
8.678167700000000151e-02 1.214431753905265005e-01
8.706389400000000278e-02 1.206567970703258524e-01
8.734611100000000405e-02 1.198789953784172579e-01
8.762832800000000533e-02 1.191096692957307468e-01
8.791054500000000660e-02 1.183486971370696500e-01
8.819276099999999452e-02 1.175959366060115863e-01
8.847497799999999579e-02 1.168512413835250535e-01
8.875719499999999706e-02 1.161144956513735227e-01
8.903941199999999834e-02 1.153855867142519337e-01
8.932162899999999961e-02 1.146643955878157289e-01
8.960384600000000088e-02 1.139507968992073267e-01
8.988606200000000268e-02 1.132446754436830100e-01
9.016827900000000395e-02 1.125459391070906118e-01
9.045049600000000523e-02 1.118545077805339488e-01
9.073271300000000650e-02 1.111702424284563145e-01
9.101492999999999389e-02 1.104929522975983541e-01
9.129714699999999516e-02 1.098224730328056647e-01
9.157936299999999696e-02 1.091587392900631309e-01
9.186157999999999824e-02 1.085016974623114056e-01
9.214379699999999951e-02 1.078512703244428605e-01
9.242601400000000078e-02 1.072073528967889822e-01
9.270823100000000205e-02 1.065698345662257074e-01
9.299044800000000333e-02 1.059385899144465876e-01
9.327266400000000512e-02 1.053134953307878763e-01
9.355488100000000640e-02 1.046944549500213734e-01
9.383709799999999379e-02 1.040814051940255058e-01
9.411931499999999506e-02 1.034742665597173095e-01
9.440153199999999634e-02 1.028729207292403275e-01
9.468374899999999761e-02 1.022772450021235402e-01
9.496596499999999941e-02 1.016871450127735249e-01
9.524818200000000068e-02 1.011025378263132046e-01
9.553039900000000195e-02 1.005233591322070991e-01
9.581261600000000322e-02 9.994957163063546146e-02
9.609483300000000450e-02 9.938113316847652090e-02
9.637705000000000577e-02 9.881790359255175626e-02
9.665926599999999369e-02 9.825968573022235419e-02
9.694148299999999496e-02 9.770634045600967710e-02
9.722369999999999624e-02 9.715787517469295920e-02
9.750591699999999751e-02 9.661430460370247497e-02
9.778813399999999878e-02 9.607555845298880459e-02
9.807035100000000005e-02 9.554152032018248253e-02
9.835256700000000185e-02 9.501209527842847946e-02
9.863478400000000312e-02 9.448722184054535178e-02
9.891700100000000440e-02 9.396684645511392542e-02
9.919921800000000567e-02 9.345089571258673178e-02
9.948143499999999306e-02 9.293928734484675769e-02
9.976365199999999434e-02 9.243193272466899979e-02
1.000458679999999961e-01 9.192873398714515587e-02
1.003280849999999974e-01 9.142959802286344806e-02
1.006103019999999987e-01 9.093451776256791796e-02
1.008925190000000000e-01 9.044351860413940569e-02
1.011747360000000012e-01 8.995655845598807265e-02
1.014569530000000025e-01 8.947348883174204015e-02
1.017391690000000043e-01 8.899416964076779790e-02
1.020213860000000056e-01 8.851855771966851694e-02
1.023036030000000068e-01 8.804665453291425636e-02
1.025858199999999942e-01 8.757843870448796253e-02
1.028680369999999955e-01 8.711385877961858037e-02
1.031502539999999968e-01 8.665285273706589686e-02
1.034324699999999986e-01 8.619531351389128626e-02
1.037146869999999999e-01 8.574111525431218905e-02
1.039969040000000011e-01 8.529022631473495708e-02
1.042791210000000024e-01 8.484272757506725049e-02
1.045613380000000037e-01 8.439866733788151110e-02
1.048435550000000049e-01 8.395789392985357480e-02
1.051257720000000062e-01 8.352019720164016725e-02
1.054079879999999941e-01 8.308548504870830187e-02
1.056902049999999954e-01 8.265379504521175313e-02
1.059724219999999967e-01 8.222516572835845972e-02
1.062546389999999980e-01 8.179958478834378766e-02
1.065368559999999992e-01 8.137702471818598904e-02
1.068190730000000005e-01 8.095742041658056387e-02
1.071012890000000023e-01 8.054066915292451556e-02
1.073835060000000036e-01 8.012668290802532622e-02
1.076657230000000048e-01 7.971546079310906641e-02
1.079479400000000061e-01 7.930701863397231210e-02
1.082301569999999935e-01 7.890132705171672145e-02
1.085123739999999948e-01 7.849831423018401033e-02
1.087945899999999966e-01 7.809791734003711239e-02
1.090768069999999978e-01 7.770010162568422030e-02
1.093590239999999991e-01 7.730484382436896007e-02
1.096412410000000004e-01 7.691212181555107108e-02
1.099234580000000017e-01 7.652191564837844406e-02
1.102056750000000029e-01 7.613419677565209931e-02
1.104878910000000047e-01 7.574891095593427881e-02
1.107701080000000060e-01 7.536599646450371781e-02
1.110523249999999934e-01 7.498542340932336236e-02
1.113345419999999947e-01 7.460718171933029830e-02
1.116167589999999959e-01 7.423125870294014494e-02
1.118989759999999972e-01 7.385763288077801247e-02
1.121811919999999990e-01 7.348628232620892098e-02
1.124634090000000003e-01 7.311717808698908749e-02
1.127456260000000016e-01 7.275029299729282584e-02
1.130278430000000028e-01 7.238558320422447401e-02
1.133100600000000041e-01 7.202296674936704834e-02
1.135922770000000054e-01 7.166236465465035399e-02
1.138744929999999933e-01 7.130379628979877094e-02
1.141567099999999946e-01 7.094733719392101734e-02
1.144389269999999958e-01 7.059301564362623072e-02
1.147211439999999971e-01 7.024074297602825312e-02
1.150033609999999984e-01 6.989042219124756705e-02
1.152855779999999997e-01 6.954202614078000555e-02
1.155677940000000015e-01 6.919556782838559572e-02
1.158500110000000027e-01 6.885105072796884884e-02
1.161322280000000040e-01 6.850846948238475953e-02
1.164144450000000053e-01 6.816781128797708145e-02
1.166966620000000066e-01 6.782902350109804024e-02
1.169788789999999939e-01 6.749203402271829189e-02
1.172610949999999957e-01 6.715681858152679207e-02
1.175433119999999970e-01 6.682343318900911544e-02
1.178255289999999983e-01 6.649193168146425026e-02
1.181077459999999996e-01 6.616225953206071597e-02
1.183899630000000008e-01 6.583431462793004618e-02
1.186721800000000021e-01 6.550803241613811778e-02
1.189543960000000039e-01 6.518341039276100146e-02
1.192366130000000052e-01 6.486045151193765845e-02
1.195188300000000065e-01 6.453918433061564541e-02
1.198010469999999938e-01 6.421964441812814950e-02
1.200832639999999951e-01 6.390182993215555440e-02
1.203654809999999964e-01 6.358568469963801761e-02
1.206476979999999977e-01 6.327115173967247375e-02
1.209299139999999995e-01 6.295819521099406402e-02
1.212121310000000007e-01 6.264678398860559771e-02
1.214943480000000020e-01 6.233692366848609528e-02
1.217765650000000033e-01 6.202866240623255978e-02
1.220587820000000046e-01 6.172203327721559329e-02
1.223409990000000058e-01 6.141697674335008100e-02
1.226232149999999937e-01 6.111340660962692739e-02
1.229054319999999950e-01 6.081129430240106437e-02
1.231876489999999963e-01 6.051068629653085645e-02
1.234698659999999976e-01 6.021161630660983033e-02
1.237520829999999988e-01 5.991404589091320343e-02
